Program;Program EN;Degree;Plan;Version;Total Hours;Level;Code;Course Name;English Name;Hours;Type;Category
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;1;2001105-2;المدخل لدراسة الفقه الاسلامي;Introduction to Islamic Jurisprudence;2;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;1;2003111-3;مبادئ القانون;Principles of Law;3;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;1;2003112-2;النظام الدستوري;;2;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;1;2003221-2;علم الإجرام والعقاب;Criminology and Punishment;2;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;1;2003225-2;المنظمات الدولية;;2;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;1;990211-2;مهارات اللغة العربية;;2;نظري;متطلبات جامعية
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;1;990311-2;المهارات الجامعية;;2;نظري;متطلبات جامعية
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;1;999801-2;اللغة الانجليزية للأغراض الأكاديمية (1);;2;نظري;متطلبات جامعية
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;2;2001113-2;أصول الفقه (1);;2;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;2;2003210-3;مصادر الالتزام;;3;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;2;2003231-3;القانون التجاري;Commercial Law;3;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;2;2003243-3;القانون الإداري;Administrative Law;3;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;2;2004111-2;أصول الثقافة الاسلامية;;2;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;2;105115-2;تاريخ المملكة;;2;نظري;متطلبات جامعية
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;2;999802-2;اللغة الإنجليزية للأغراض الأكاديمية (2);;2;نظري;متطلبات جامعية
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;3;2001328-2;القواعد الفقهية;;2;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;3;2001330-2;أصول الفقه (2);;2;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;3;2003215-2;حقوق الانسان;;2;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;3;2003216-2;المحاماة وأخلاقيات المهنة;;2;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;3;2003313-3;أحكام الالتزام;Obligation Rules;3;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;3;2004112-2;الثقافة الاسلامية (الأخلاق والقيم);Islamic Culture (Ethics & Values);2;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;3;999803-2;اللغة الإنجليزية للأغراض الأكاديمية (3);;2;نظري;متطلبات جامعية
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;4;2003222-3;النظام الجزائي العام;General Criminal Law;3;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;4;2003226-3;القانون الدولي العام;Public International Law;3;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;4;2003315-3;العقود المدنية;Civil Contracts;3;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;4;2003321-3;الأوراق التجارية والإفلاس;Commercial Papers & Bankruptcy;3;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;4;2003352-2;وسائل الإثبات;;2;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;4;999804-2;اللغة الانجليزية للأغراض الاكاديمية (4);;2;نظري;متطلبات جامعية
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;5;2001318-3;فقه الجنايات;Jurisprudence of Criminal Law;3;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;5;2001327-3;فقه الأحوال الشخصية;Personal Status Jurisprudence;3;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;5;2003381-3;القضاء الاداري;;3;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;5;2003433-3;العقود التجارية وعمليات البنوك;;3;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;5;2003441-3;الحقوق العينية;;3;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;6;2001220-3;فقه المعاملات;Jurisprudence of Transactions;3;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;6;2003114-2;اساسيات البحث القانوني;Legal Research Basics;2;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;6;2003255-3;الملكية الفكرية;Intellectual Property;2;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;6;2003323-3;النظام الجزائي الخاص;Special Criminal Law;3;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;6;2003426-2;العقود الإدارية;;2;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;6;2004313-2;ثقافة إسلامية (3);;2;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;6;2003329-2;ماده اختياريه للقسم;;2;نظري;اختيارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;7;2001401-2;المواريث والوصايا;;2;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;7;2003417-3;نظام العمل والتأمينات الاجتماعية;;3;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;7;2003453-3;نظام المرافعات;Litigation System;3;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;7;2004414-2;ثقافة إسلامية (4);;2;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;7;20034101-3;القانون البحري والجوي;;3;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;7;2003402-2;ماده اختياريه للقسم;;2;نظري;اختيارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;8;2003404-2;تدريبات قانونية;;2;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;8;2003442-3;النظام الدولي الخاص;;3;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;8;2003456-2;نظام التحكيم;;2;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;8;2003489-3;الإجراءات الجزائية;;3;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;8;2003492-3;إجراءات التنفيذ القضائي;Judicial Execution Procedures;3;نظري;إجبارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;8;2003403-2;ماده اختياريه للقسم;;2;نظري;اختيارية القسم
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;8;990113-2;الثقافة الصحية;;2;نظري;متطلبات جامعية
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;8;990312-2;الابتكار وريادة الأعمال;;2;نظري;متطلبات جامعية
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;8;990411-2;مبادئ البرمجة;;2;نظري;متطلبات جامعية
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;8;990412-2;المواطنة الرقمية;;2;نظري;متطلبات جامعية
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;8;990413-2;السيرة النبوية;;2;نظري;متطلبات جامعية
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;8;990415-2;تلاوة وتجويد;;2;نظري;متطلبات جامعية
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;8;990416-2;الإعلام والمجتمع;;2;نظري;متطلبات جامعية
الأنظمة;Law/Regulations;بكالوريوس;قديمة;38;130;8;990417-2;الخدمة المجتمعية;;2;نظري;متطلبات جامعية
الشريعة;Sharia;بكالوريوس;قديمة;39;174;1;2001108-2;التوحيد العملي;;2;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;1;2001110-2;المقدمات الأصولية;Fundamentalist Introduction;2;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;1;2001115-4;الفقه (1);Al Fiqh 1;4;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;1;2001193-2;علوم الحديث(1);;2;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;1;2001260-2;المدخل لدراسة الشريعة;;2;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;1;2002128-1;القرآن الكريم (1);;1;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;1;2002230-2;علوم قرآن;;2;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;1;103171-2;التحرير العربي;;2;نظري;متطلبات جامعية
الشريعة;Sharia;بكالوريوس;قديمة;39;174;1;990311-2;المهارات الجامعية;;2;نظري;متطلبات جامعية
الشريعة;Sharia;بكالوريوس;قديمة;39;174;1;999801-2;اللغة الانجليزية للأغراض الأكاديمية (1);;2;نظري;متطلبات جامعية
الشريعة;Sharia;بكالوريوس;قديمة;39;174;2;2001107-2;التوحيد العلمي;;2;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;2;2001116-4;الفقه (2);Al Fiqh 2;4;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;2;2001126-2;فقه تاريخ عصر الراشدين;Jurisprudence of Rashidun Era;2;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;2;2001127-2;الحكم الشرعي والتكليف;Sharia Judgment & Commission;2;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;2;2001192-2;علوم الحديث ٢;;2;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;2;2001281-2;فقه السيرة النبوية;;2;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;2;2002129-1;القرآن الكريم (2);;1;نظري;إجبارية القسم
الشريعة;Sharia;بكالوريوس;قديمة;39;174;2;2002241-2;تفسير آيات الحكام (1);;2;نظري;إجبارية القسم
