Program;Degree;Code;Course Name;نوع المقرر
الأنظمة;بكالوريوس;2001105-2;المدخل لدراسة الفقه الاسلامي;فريد
الأنظمة;بكالوريوس;2003111-3;مبادئ القانون;مشترك
الأنظمة;بكالوريوس;2003112-2;النظام الدستوري;فريد
الأنظمة;بكالوريوس;2003221-2;علم الإجرام والعقاب;فريد
الأنظمة;بكالوريوس;2003225-2;المنظمات الدولية;فريد
الأنظمة;بكالوريوس;990211-2;مهارات اللغة العربية;مشترك
الأنظمة;بكالوريوس;990311-2;المهارات الجامعية;مشترك
الأنظمة;بكالوريوس;999801-2;اللغة الانجليزية للأغراض الأكاديمية (1);مشترك
الأنظمة;بكالوريوس;2001113-2;أصول الفقه (1);مشترك
الأنظمة;بكالوريوس;2003210-3;مصادر الالتزام;فريد
الأنظمة;بكالوريوس;2003231-3;القانون التجاري;فريد
الأنظمة;بكالوريوس;2003243-3;القانون الإداري;فريد
الأنظمة;بكالوريوس;2004111-2;أصول الثقافة الاسلامية;مشترك
الأنظمة;بكالوريوس;105115-2;تاريخ المملكة;مشترك
الأنظمة;بكالوريوس;999802-2;اللغة الإنجليزية للأغراض الأكاديمية (2);فريد
الأنظمة;بكالوريوس;2001328-2;القواعد الفقهية;مشترك
الأنظمة;بكالوريوس;2001330-2;أصول الفقه (2);مشترك
الأنظمة;بكالوريوس;2003215-2;حقوق الانسان;مشترك
الأنظمة;بكالوريوس;2003216-2;المحاماة وأخلاقيات المهنة;فريد
الأنظمة;بكالوريوس;2003313-3;أحكام الالتزام;فريد
الأنظمة;بكالوريوس;2004112-2;الثقافة الاسلامية (الأخلاق والقيم);مشترك
الأنظمة;بكالوريوس;999803-2;اللغة الإنجليزية للأغراض الأكاديمية (3);فريد
الأنظمة;بكالوريوس;2003222-3;النظام الجزائي العام;فريد
الأنظمة;بكالوريوس;2003226-3;القانون الدولي العام;فريد
الأنظمة;بكالوريوس;2003315-3;العقود المدنية;فريد
الأنظمة;بكالوريوس;2003321-3;الأوراق التجارية والإفلاس;فريد
الأنظمة;بكالوريوس;2003352-2;وسائل الإثبات;فريد
الأنظمة;بكالوريوس;999804-2;اللغة الانجليزية للأغراض الاكاديمية (4);فريد
الأنظمة;بكالوريوس;2001318-3;فقه الجنايات;فريد
الأنظمة;بكالوريوس;2001327-3;فقه الأحوال الشخصية;فريد
الأنظمة;بكالوريوس;2003381-3;القضاء الاداري;فريد
الأنظمة;بكالوريوس;2003433-3;العقود التجارية وعمليات البنوك;فريد
الأنظمة;بكالوريوس;2003441-3;الحقوق العينية;فريد
الأنظمة;بكالوريوس;2001220-3;فقه المعاملات;مشترك
