id,year,title,authors_ids,journal,publish_date,citations_range,student_author
1,1446,دراسة تحليلية لمنهج الداني في جامع البيان,1,مجلة الدراسات القرآنية,2024-02-10,11-20,لا
2,1446,القراءات الشاذة وأثرها في التفسير,2|3,مجلة جامعة أم القرى,2024-04-15,أقل من 10,لا
3,1446,توجيهات ابن خالويه النحوية للقراءات,1,المجلة العربية للقرآن وعلومه,2024-06-20,21-50,نعم
4,1446,أصول رواية حفص عن عاصم,4,مجلة البحوث الإسلامية,2024-08-01,أقل من 10,لا
5,1446,منهج الإمام الشاطبي في حرز الأماني,2,مجلة معهد الإمام الشاطبي,2024-03-25,11-20,لا
6,1446,الأداء القرآني بين التلقي والرواية,5|6,مجلة الدراسات القرآنية,2024-05-12,أقل من 10,لا
7,1446,ضبط المصحف العثماني - دراسة تأصيلية,1|4,مجلة جامعة الملك سعود,2024-07-30,21-50,لا
8,1446,الوقف اللازم عند علماء القراءات,7,مجلة البحث العلمي,2024-09-05,أقل من 10,نعم
9,1447,الترجيح بين القراءات عند الطبري,1,مجلة الدراسات القرآنية,2025-01-15,أقل من 10,لا
10,1447,أثر القراءات في استنباط الأحكام,2|4,مجلة جامعة أم القرى,2025-02-20,أقل من 10,لا
11,1447,منهج الداني في التيسير,3,المجلة العربية للقرآن وعلومه,2025-01-28,أقل من 10,نعم
12,1447,الإدغام في القراءات السبع,5|6,مجلة معهد الإمام الشاطبي,2025-02-10,أقل من 10,لا
